GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crewconnect,com.coopercrew.crewconnect.controller,ChatController,20,3,0,0,5,1,2,1,2,1
crewconnect,com.coopercrew.crewconnect.web,MessageController,313,6,8,0,85,2,12,1,8,1
crewconnect,com.coopercrew.crewconnect.web,UserController,72,271,2,0,30,67,2,10,1,10
crewconnect,com.coopercrew.crewconnect.web,GroupchatController,104,192,0,0,39,49,3,8,3,8
crewconnect,com.coopercrew.crewconnect.web,ServerController,101,107,0,0,34,28,3,5,3,5
crewconnect,com.coopercrew.crewconnect.config,WebsocketConfig,0,40,0,0,0,6,0,3,0,3
crewconnect,com.coopercrew.crewconnect.util,DataAccessObject,0,6,0,0,0,3,0,1,0,1
crewconnect,com.coopercrew.crewconnect,JoinsDAO,48,380,0,12,18,94,0,13,0,7
crewconnect,com.coopercrew.crewconnect,User,0,54,0,0,0,18,0,13,0,13
crewconnect,com.coopercrew.crewconnect,GroupchatDAO,144,172,0,2,51,53,3,9,3,8
crewconnect,com.coopercrew.crewconnect,DatabaseConnectionManager,0,31,0,0,0,7,0,2,0,2
crewconnect,com.coopercrew.crewconnect,TextMessageDTO,10,0,0,0,4,0,3,0,3,0
crewconnect,com.coopercrew.crewconnect,ServerDAO,98,164,2,4,33,50,2,10,1,8
crewconnect,com.coopercrew.crewconnect,Groupchat,0,45,0,0,0,15,0,11,0,11
crewconnect,com.coopercrew.crewconnect,Joins,27,0,0,0,9,0,7,0,7,0
crewconnect,com.coopercrew.crewconnect,MessageDAO,54,121,0,2,20,35,1,7,1,6
crewconnect,com.coopercrew.crewconnect,CrewconnectApplication,5,3,0,0,2,1,1,1,1,1
crewconnect,com.coopercrew.crewconnect,Message,16,38,0,0,2,16,2,11,2,11
crewconnect,com.coopercrew.crewconnect,UserDAO,80,265,1,5,30,78,1,14,0,12
crewconnect,com.coopercrew.crewconnect,Server,0,27,0,0,0,9,0,7,0,7
